id,name,description,category,image_url
lawnmowing,Lawnmowing,"Clean lawn mowing and yard maintenance to keep your property looking sharp and well kept.",Lawn Care,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2aNO3Aafeyacqd8QqpQecCQ7HIjFQDW-ASA&s
weed-eating,Weed Eating,"Precise weed trimming and edge cleanup to keep your lawn looking neat and tidy.",Lawn Care,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGh1BnigKtm3ciJUTej75xk39QmOiUagfI8w&s
yard-cleanup,Yard Cleanup,"Professional yard cleanup to remove debris, tidy up outdoor spaces, and keep your property looking fresh.",Lawn Care,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZyZPNkXFcnudYS6xN8PqrFknFQ87j1OTbVA&s
hedge-trimming,Hedge Trimming,"Professional hedge and shrub trimming to maintain your landscape's shape and health.",Lawn Care,https://images.ctfassets.net/vwt5n1ljn95x/TZWxHeSCgplLaNrpzc9uX/5c094fcda4053b1fc19f20ededaa9814/Branch_Hedge_Trimming.jpeg?w=3840&q=75&fm=webp
tree-pruning,Tree Pruning,"Expert tree pruning and removal services to keep your trees healthy and safe.",Lawn Care,https://treenewal.com/wp-content/uploads/2022/05/Tree_Pruning_and_Tree_Trimming.jpg
grass-seeding,Grass Seeding,"Quality grass seeding and lawn restoration to grow a thick, healthy lawn.",Lawn Care,https://www.therebels.com/-/media/Project/OneWeb/TheRebels/Images/blog/How-to-Plant-Grass-Seed/Sowing-grass-og.jpg
fertilizing,Fertilizing,"Professional lawn fertilizing to promote growth and maintain a vibrant green lawn.",Lawn Care,https://www.yardcare.com/wp-content/uploads/2023/02/when-and-how-to-fertilize-in-spring-700x465-1.jpg
landscaping,Landscaping Design,"Creative landscaping design and installation to transform your outdoor space.",Lawn Care,https://www.chippersinc.com/wp-content/uploads/2018/06/iStock-184395182-1-e1529938133297.jpg
pressure-washing,Pressure Washing,"Professional pressure washing for driveways patios and outdoor surfaces.",Lawn Care,https://www.bhg.com/thmb/6Smp_H1OxU_KcC6UA8dSW9JVRkY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-2180759238-b72c3ddb04ba4a2bb9e8039b005d39d9.png
mulching,Mulching,"Quality mulch installation and maintenance for healthier plants and better moisture retention.",Lawn Care,https://www.skh.com/wp-content/uploads/2025/04/How-to-Lay-Mulch.jpg
